seed,severity,condition,mode,missing_count,missing_accuracy,macro_object_accuracy,worst_object_accuracy,missing_brier,missing_ece,cross_object_leakage_rate,outside_hallucination_rate
6,standard,clean,oracle,154,1,1,1,0,0,0,0
6,standard,corrupt,present_only,154,0.4675324675324675,0.46744595274007045,0.45098039215686275,0.08371790269184959,0.04618675736273842,0,0
6,standard,corrupt,global_scene_memory,154,0.35714285714285715,0.35646053293112123,0.29411764705882354,0.13254308464620312,0.27079625057324874,0.19466811025712813,0
6,standard,corrupt,object_separated_memory,154,0.5844155844155844,0.5844645550527904,0.5490196078431373,0.09907913392590036,0.17426949630939098,0.11825739480437768,0
6,standard,corrupt,object_contour_memory,154,0.5909090909090909,0.5908748114630468,0.5686274509803921,0.09102434273625108,0.1361130654751957,0.11558646304347867,0
6,standard,corrupt,shuffled_object_memory_control,154,0,0,0,0.2698637156160334,0.7074532439456815,0.9850065679857672,0
6,standard,corrupt,oracle,154,1,1,1,0,0,0,0
6,hard,clean,present_only,250,0.468,0.4679192962325493,0.4457831325301205,0.08484870474181183,0.06433566433566612,0,0
6,hard,clean,global_scene_memory,250,0.488,0.48766494549627076,0.3253012048192771,0.10446085908695875,0.16242479994587752,0.07792341504862038,0
6,hard,clean,object_separated_memory,250,0.796,0.7962325492445975,0.7380952380952381,0.05290310189272302,0.1002043430897767,0.02983804361851542,0
6,hard,clean,object_contour_memory,250,0.8,0.8002008032128515,0.75,0.05061031309511233,0.051918990704473554,0.02592338252469779,0
6,hard,clean,shuffled_object_memory_control,250,0,0,0,0.2947621666285855,0.838431040581052,0.9863174662633343,0
6,hard,clean,oracle,250,1,1,1,0,0,0,0
6,hard,corrupt,present_only,250,0.468,0.4679192962325493,0.4457831325301205,0.08484870474181183,0.06433566433566612,0,0
6,hard,corrupt,global_scene_memory,250,0.396,0.39596481162746217,0.3493975903614458,0.12271486448246395,0.22786328444938841,0.15888393343630436,0
6,hard,corrupt,object_separated_memory,250,0.552,0.5521132147638171,0.4939759036144578,0.10952141374477911,0.20327061005663932,0.1042489680247916,0
6,hard,corrupt,object_contour_memory,250,0.56,0.560049722700325,0.4939759036144578,0.0999675793646947,0.15444579486856536,0.1010028149597699,0
6,hard,corrupt,shuffled_object_memory_control,250,0,0,0,0.2778137848076437,0.7518003876645143,0.9852173610985697,0
6,hard,corrupt,oracle,250,1,1,1,0,0,0,0
6,extreme,clean,present_only,335,0.4925373134328358,0.4925190677403067,0.4864864864864865,0.08363917604812257,0.020986902223576798,0,0
6,extreme,clean,global_scene_memory,335,0.5014925373134328,0.5009434212974037,0.4144144144144144,0.10713183431742164,0.16565081883004656,0.12475672471316523,0
6,extreme,clean,object_separated_memory,335,0.7850746268656716,0.7853251481570066,0.7433628318584071,0.05219735178452781,0.06673445153504062,0.030966461223413986,0
6,extreme,clean,object_contour_memory,335,0.7940298507462686,0.7943341571660157,0.7433628318584071,0.049817871955938356,0.049677254761308326,0.026848019985765772,0
6,extreme,clean,shuffled_object_memory_control,335,0,0,0,0.2969323535503027,0.8520026659368656,0.9842201768167994,0
6,extreme,clean,oracle,335,1,1,1,0,0,0,0
6,extreme,corrupt,present_only,335,0.4925373134328358,0.4925190677403067,0.4864864864864865,0.08363917604812257,0.020986902223576798,0,0
6,extreme,corrupt,global_scene_memory,335,0.4597014925373134,0.4590076802466183,0.2702702702702703,0.11410561212183905,0.17286183671097266,0.1945357533651998,0
6,extreme,corrupt,object_separated_memory,335,0.6119402985074627,0.6119482314172578,0.5855855855855856,0.09528028794551034,0.16433925021734047,0.12117648269042199,0
6,extreme,corrupt,object_contour_memory,335,0.6208955223880597,0.6209040899306387,0.5945945945945946,0.08702987420641685,0.1080953669797675,0.11665540625028543,0
6,extreme,corrupt,shuffled_object_memory_control,335,0,0,0,0.28015974135201704,0.7648606836262848,0.9852685176350865,0
6,extreme,corrupt,oracle,335,1,1,1,0,0,0,0
7,standard,clean,present_only,153,0.49673202614379086,0.49698340874811464,0.46153846153846156,0.08339805456470469,0.02904865649963595,0,0
