seed,severity,condition,mode,missing_count,missing_accuracy,missing_soft_iou,missing_brier,missing_ece,outside_hallucination_rate
4,hard,corrupt,present_only,369,0.31978319783197834,0.1999082684212358,0.22224782011042005,0.019059777374635545,0
4,hard,corrupt,last_observation,369,0.5203252032520326,0.35763101876596903,0.22087790366326504,0.19836950435620027,0
4,hard,corrupt,decayed_material_memory,369,0.7913279132791328,0.4670227983310323,0.10642646312114835,0.14367056941653342,0
4,hard,corrupt,contour_material_memory,369,0.8292682926829268,0.4309494229299742,0.10771727454409771,0.18665497179150578,0
4,hard,corrupt,shuffled_memory_control,369,0.32791327913279134,0.19971192945760077,0.30855074221864365,0.3789600760412997,0
4,hard,corrupt,oracle,369,1,1,0,0,0
4,extreme,clean,present_only,482,0.34232365145228216,0.19999319661728898,0.2222592491155941,0.00859983139732129,0
4,extreme,clean,last_observation,482,0.520746887966805,0.35141050541390334,0.16832072982625967,0.03621125696580985,0
4,extreme,clean,decayed_material_memory,482,0.9688796680497925,0.8297212867518488,0.020323831003382472,0.04988133815004497,0
4,extreme,clean,contour_material_memory,482,0.9730290456431535,0.7286523256315119,0.024119946763706164,0.12118889472671117,0
4,extreme,clean,shuffled_memory_control,482,0.3278008298755187,0.1944977304634056,0.40769612736641403,0.5958837233634282,0
4,extreme,clean,oracle,482,1,1,0,0,0
4,extreme,corrupt,present_only,482,0.34232365145228216,0.19999319661728898,0.2222592491155941,0.00859983139732129,0
4,extreme,corrupt,last_observation,482,0.4336099585062241,0.27932016108227536,0.218175965297225,0.10718860508654701,0
4,extreme,corrupt,decayed_material_memory,482,0.7572614107883817,0.482839260674087,0.11661994751405992,0.10534363159382588,0
4,extreme,corrupt,contour_material_memory,482,0.7697095435684648,0.4455228912198421,0.11359257503319894,0.11193954722230504,0
4,extreme,corrupt,shuffled_memory_control,482,0.3132780082987552,0.19095030428756124,0.336724233232701,0.4195319911048284,0
4,extreme,corrupt,oracle,482,1,1,0,0,0
5,standard,clean,present_only,219,0.3378995433789954,0.1997368557762065,0.22277327627989035,0.022295816816365888,0
5,standard,clean,last_observation,219,0.5616438356164384,0.3753618905443071,0.15611787785225684,0.014741220220672653,0
5,standard,clean,decayed_material_memory,219,0.9817351598173516,0.8429238106879824,0.015855955950787266,0.06928135631923796,0
5,standard,clean,contour_material_memory,219,0.9817351598173516,0.7440462741970048,0.020019133531856574,0.13505705426403658,0
5,standard,clean,shuffled_memory_control,219,0.2876712328767123,0.16836268404782087,0.4342588333450323,0.633914990712725,0
5,standard,clean,oracle,219,1,1,0,0,0
